CONTENT,from_user_description
RT @PahwaSandy: Dats true .Before #demonetization it was 7.30 which has been reduced to 4.25 @kapsology @ArvindKejriwal https://t.co/mYZ9WT,On Twitter for AAP
The latest The Morning Journal! https://t.co/ptdqk1v5YP #demonetization #queues,"Only one life, 'twill soon be past. Only what's done for Christ will last. Each day is a chance to radiate God-vibes to every person we meet. :)"
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"Proud Hindu, Follower of RSS, Believer of Panth Nirpekshata ||| Vande Mataram|||"
Bastions of pigs r loosing their grounds under economic pressure from #demonetization competing for mainstream https://t.co/wNdHHLwUfE,"Business Analyst, Writer and Educationist,@tweets r personal opinions, RT are not enforcement or endorsement"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,Mera bharat mahan
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"Fauji at heart. (Anti-Armed Forces folks & gaali dene walo, stay away). GSD lover. Indian. Jai Hind!"
RT @VoiceOfRamOrg: What the recent Punjab jailbreak incident told me about #DeMonetization. https://t.co/hurM1Z3ZFF via @VoiceOfRamOrg,Political Party
RT @jairajp: BJP bought mulitple pieces of land worth crores just before note ban https://t.co/7a5AmtYlkY #DeMonetization Scam exposed,"Sick of giving bribes, sick of everyday scams, sick of every govt looting us. ENOUGH. Its time for a change, time to change within and the whole country."
RT @4ushashishekhar: Nandan Nilekani d Cong blue eyed corporate honcho n Architect of Aadhar supports #Demonetization Rahul Gandhi listenin,"Civil Engineer(SMS Infrastructure Limited,Nagpur),Indian, BJP Karyakarta & belong to land of Chatrapati Shiwaji Maharaj."
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"work in progress. athiest. NaMo fan. hate traitors & Islamic terrorists. copyright violations, insults from RT if any, not intentional. RT for awareness only."
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,
"@sardesairajdeep @Vidyut @timesofindia this does NOT reflect what ppl think of PM's move. No, sir.#Demonetization",Student; Staunch Modi supporter; hardcore Hindu; LOVE spicy food & reading Manga
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"?? ???? ??? ???????????? ??? ?? #??????????? ??? ????? ??? ? ??????? ?#?????? ????? ?? ?
?????? ????? ??????? ???? ?????? ? ??? ?"
"RT @PlattsOil: India's #demonetization: What's the impact on #oil, #petrochemicals, #metals and #agriculture? Our analysis in full: https:/","Engineer, energy and environment oriented and intellectual"
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,Everyone on earth is linked to the same destiny !!
"RT @MoupiaNandy: Post #demonetization salary awaited. Lots of questions, tensions. All 2 b answrd #amar24. @ 8pm 2nght @24ghantaonline . 22",https://t.co/WcAmrdzPXc
"RT @MehekF: Instead of creating so much ruckus of #Demonetization, shud hv just extended amnesty wid higher 5%penalty. Destroyed the econom",Humanity First | Congressmen | Digital Team @INCIndia & Secretary @TNCCMinority | Social Justice 4 All | Views are Personal | RTs? endorsement | Jai Hind.
"Instead of creating so much ruckus of #Demonetization, shud hv just extended amnesty wid higher 5%penalty. Destroyed the economy 4 no reason","Liberal, Secular, Congressi. Love reading,indulge in poetry and soft music. Have nimble fingers on BLOCK."
The latest The ANAND RM Daily! https://t.co/mFQsjASExU Thanks to @navinkhaitan #demonetization,"Renewable Energy Engineering Aspirant. New generation
Gandhian(Revisionist).
Feminist. Secular.
Global citizen."
"His facial expression reflects his true feelings. King of dumbs, dumbstruck. https://t.co/QL08enClnl #demonetization",I intend to offend the retards who support arvind kejriwal. Auto follow back to all followers.
Scribble: #Demonetisation #Demonetization #haiku https://t.co/q29iGyzbJt,
RT @Chopsyturvey: Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucG,"an average young engineer from IITB, writes codes to pay bills, looking to explore the world. urbanpendu. #sikhi #bharat"
Partial Shutdown of Automobile Companies due to Demonetisation !#DeMonetisation #demonetization https://t.co/nW8tjGwocH,I stand for Fun :)
@NavenduSingh_ @meamabhishek nahin be chutiye he was arrested for tweeting a bank robber n claiming to be a #Demonetization effect.,"Proud Hindu Nationalist,Anti Sickular,Anti Porki, Proud Bhakt,Proud Sanghi,Akhand Hindu rastra  Anti Islamic terrorists"
Telangana CM K. Chandrashekar Rao extends full support to PM @narendramodi 's #Demonetization  move https://t.co/Ve3CWucGyz,"Retd Air Marshal of Indian #AirForce, Test Pilot. Member Armed Forces Tribunal. Writes on #Aviation, #Martyrs Interests include #defence #aircraft #golf"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Autocorrect makes me say things I didn't Nintendo.
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,I am a retired Post Graduate Engineer.
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,Autocorrect makes me say things I didn't Nintendo.
#Demonetization : A very complicated decision https://t.co/Ofyw2LiCWj,Eatery with special packages for health enthusiasts.
"Three weeks to the day since India PM Modi announced #demonetization. Still many lines like this outside banks, ATM https://t.co/vhrAf2RJwk","Wall Street Journal reporter covering tech in India. Via Singapore, Bangkok, NYC, SC. @MAColumbiaJourn, @EmoryUniversity alum. Gracefully aging goalkeeper ?? ??"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,"Student, who aspire for a change"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (2/n) https://t.co/d4eeJgEIiy,"Student, who aspire for a change"
"RT @prasanto: Calvin &amp; Hobbes on #Demonetization, by @krishashok. Brilliant. reposting, with author credit. https://t.co/J41NWIQQAe",Dubius sum quid faciam.
RT @AAPGujarat: News in Print: AAP protested against #demonetization in Rajula https://t.co/QvuHHAy0nD,"Student, who aspire for a change"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
#Demonetization: Detailed Drama of How #Modi Checkmated #Pakistans Devastating #Assaulthttps://t.co/8ZoPPU6a80 via @drishtikone,#Military Geek #IndianChristian #Jesus #Truth #GunEnthusiast #Shooting #Artist #Photographer #Mountaineer #Sailor #Parachutist #PahadiNotDesi #JaiHind...!!!
Are you traveling to India and worried about #demonetization ? Here are quick tips.https://t.co/aEJgu0wJah. https://t.co/e3GoJwZPUr,"Traveller,Author Superwomen,founder @ghoomophiro, https://t.co/aaaRpAKpxT, Enterpreneurship Speaker,
https://t.co/ubGb35LSFZ"
RT @MissionBJP2019: Government pushes banks to install 1 million swipe machines in 3 months. #Demonetization... https://t.co/UqszXwBHsU,"Technology Enthusiast, Day Dreamer & Night Thinker"
WatchDelhi CM .@ArvindKejriwal on how #Demonetization is a complete failure https://t.co/GtKemqHnAS by #Ankita_Shah8 via @c0nvey,
If you want ur kids to stay in this country then support #demonetization @amitabhk87 @NITIAayog,
"RT @JanatadalU: Clear evidence of black money used to buy land for @BJP4India before #demonetization, sharing records after #demonetization",Advocate by Profession (Patna High Court) Spokesperson of Janata Dal (United)
RT @SirJadeja: Modi Leela Exposed All #BlackMoney Holders. ;)  #?????_??_????? #DemonetizationBenefits #Demonetization #DeMonetisation ht,Autocorrect makes me say things I didn't Nintendo.
Hey guys plz listen to my views on #demonetization in this video. https://t.co/otuzENMKZSAny kind of comments and feedbacks are mst wlcm,
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,"Technology Enthusiast, Day Dreamer & Night Thinker"
Note Counting Machine with Fake Note Detector &amp; LCD Display. Supports new notes of ?2000 and ?500 https://t.co/hnOPK8N44n#Demonetization,Online deals specially for you! Selecting the best deals from all Online Stores. Let us know what you're looking for and we'll help you find the best deal.
"People wandering around staring at a map on their phone screen are no longer looking for Pokemon, but ATMs :P #demonetization",Mission: To go to bed each night wiser than when I got up. Investor. Bibliophile. Gamer. Tea-addict.
RT @SirJadeja: RT &amp; Ask Opposition To Answer This Question Or Stop The Hypocrisy.#?????_??_????? #DeMonetisation #DeMonetization #BlackMo,Autocorrect makes me say things I didn't Nintendo.
#Demonetization: Reserve Bank  fails to measure up!! https://t.co/bpywhAHHY5,"Author and  Senior Journalist, with 38 years of  specialization in consumer law and safety issues. A pioneer in   consumer advocacy journalism in India."
#Demonetization: Prime Minister Narendra Modi urges people to switch to mobiles as banks. Here's how you can do it - https://t.co/xI17VlN13y,
Banking sector is going to be a big beneficiary of the #demonetization. We study the effect to this sector  - https://t.co/ONnCzenvJK,Startup Advisory & Equity Research
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,?????? ??? ??? ??? ?? ?????? BJP-CONG ??? ?? ?? ?? ?????? ?? ?????
"Due to #Demonetization Maoists collapsed, highest no surrender after 8th Nov@HinduRajyam https://t.co/eDxuRFNmlL","Lecturer History ,interest in political debate, G K ,Social Awareness"
@ShadowWarrior06 @virsanghvi Many industries/sectors have already dropped production figures to avoid surplus goods. #demonetization,
RT @namishtaneja: Thank you #navbharattimes ??#NamishTaneja #demonetization #2000rs?? https://t.co/33fuvMzCfB,"Papa's Princess??MuSic LOver??
Dreamer??
Achiever??
Frndsholic????
Crazy Fan of Modi ji, NamishTaneja,TejasswiPrakash, RagLak TeMish? Kaira?Tanshi?"
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,Alchemist
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Another Proud Indian
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,"Proud indian, political views, I am very strong supporter of AIMIM. I thought, Politics is game of noble person, unfortunately it's grabbed by rioters."
#India's #Demonetization impact: #Financial services company @MorganStanley cuts GDP growth forecast for current fi https://t.co/hhJu5qQCgf,Newscast Pratyaksha is an unique daily news site that specifically focuses on analyses and reports of various international #geopolitical events and happenings.
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,"Science student, I.A.S aspirant, All India Majlis-e-Ittehadul Muslimeen(AiMiM)
, Jai MiM Jai Bheem."
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,Nationalist 1st | RTs not endorsements | An Ordinary Bharatiya | ???? ???? ?? ?? | ?? ???? |  ????
"RT @SirJadeja: #DemonetizationBenefits: For Starters, Even ManMohan Singh Started To Speak And Care About Common People.#DeMonetization #",Autocorrect makes me say things I didn't Nintendo.
RT @SirJadeja: LMAO! PM Modi's Hilarious Take On #SonamGupta#SonamGuptaBewafaHai #DemonetizationBenefits #DeMonetization https://t.co/fZ,Autocorrect makes me say things I didn't Nintendo.
The latest Rap-Ex Same Day Courier Daily! https://t.co/AlZZhHtUgE #fillon #demonetization,Sameday Couriers - Local couriers - National couriers - European parcel delivery- Worldwide parcel service- North West couriers - Small Vans upto 18T
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Bio: logical.     

Je Suis Kanhaiyya - ???? ?????? ???? ?? ????? ?? ????? ???

Revolution is HERE, where are YOU"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
"RT @devesh2day: No wonder #Pappu, #Kejri, #Didi &amp; #Behenji are worried. The poor are the biggest beneficiaries of #demonetization. https://",
"RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill is Money Bill, not requiring Rajya Sabha nod. #Demonetization. @NewIndianXp",walking the green mile..
RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill amidst ruckus; bring in existence tax provisions for #Demonetization. @NewI,walking the green mile..
How Demonetization Has Affected NRI's | Indian Currency #NAMO https://t.co/SrbQrMFO7w via @YouTube #Demonetization #NarendraModi #BJP,You won't be disappointed once you know me.
When the ATM at @FinMinIndia  ran dry | @arunjaitley @TheOfficialSBI #demonetizationhttps://t.co/mswEY1AUyi,"Your Window to Smarter, Faster, Sharper Infrastructure stories. @VCCircle and @TechCirclein are official ids. #energy #transportation #oilandgas"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",You know who i am.
"RT @TOIStartups: Digital payment firms cash in on India's money mess, but can it last? #demonetization #cashless https://t.co/Z8s2yExAr5",Journalist with The Times of India
"RT @godavar: because right now the country is making a LOT of noise, rightfully, about #demonetization and not hiding their head in the san","Bio: logical.     

Je Suis Kanhaiyya - ???? ?????? ???? ?? ????? ?? ????? ???

Revolution is HERE, where are YOU"
"Find the solution to #gifting in the times of #demonetization, here https://t.co/Eupi69UrGg https://t.co/CPFsZb0RXK","Woohoo powers your mobilephone to GIFT at 3000+ leading stores,online,watch movies, dine at restaurants and holidays.  Gift a Woohoo experience !"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http",
469 Maoists surrendered since demonetisation announcement Indirect benefits of #demonetization by @PMOIndia on 8th. November! @BJP4India,India first and India last. Nothing matters more for me! Jai Hind. Bharat mata ki Jai! Bandemataram!
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","It's stupid. Therefore, I will do it."
The latest Think Tank Legal Daily! https://t.co/123Gcie0f6 #demonetization #queues,"We provide SMEs with great legal advice in a very efficient, cost effective way  that is different from traditional law firms."
"RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill is Money Bill, not requiring Rajya Sabha nod. #Demonetization. @NewIndianXp",Courage Is a Love Affair with the Unknown~osho
RT @MissionBJP2019: Government pushes banks to install 1 million swipe machines in 3 months. #Demonetization... https://t.co/UqszXwBHsU,"Saccha Hindustani , Dabangg Swadeshi"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",
RT @archie_214: There goes another major excuse for #Demonetization https://t.co/5EpzXf66gx,"Keep yourself updated with the latest on the Hypocrisy, Bigotry and Double standards uncensored."
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","chronic foodie, self-declared dilliwala, drift-with-lifer, personally political. mostly gormless.
godavar is my pen-name (just putting that out there)"
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Under the section Lol of Article Rofl, you have a right to chuckle."
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http",???? ???? ?????? ?????? ???????? ????????? ????? ?????? ??????????????
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,"Proud Indian, Nationalist, Wannabe Aviator, NaMo/BJP Supporter, Free Thinker, Revenue Management pro, Hotelier"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,Engineering professional
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Engineer who takes pics,makes cartoons,talks on how to make and run free websites & lot more fun stuff at http://t.co/Gy4lCAQx6U. Pls RT http://t.co/iZYZRFjcKH"
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","Contentment is natural wealth, luxury is artificial poverty. - Socrates     Being defeated is often a temporary condition; giving up is what makes it permanent."
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,"Indian, Son, Husband, Father, Brother, Friend a Trainer and a COACH! Love all my roles that life has given me."
RT @NilimDutta: Swachh Bharat Abhiyan? #EpicFailMake in India? Epic FailSurgical Strike? Epic Fail#DeMonetization? Epic Fail,
RT @Tavaga_Invest: Tavaga's @niharikar writes for @SHEROESIndia on how Women should react to #demonetization - https://t.co/ApZ3KlSTAd. #gi,Unique Designer Sarees from the shores of Andhra. Straight from the weaver to your closet.
RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill amidst ruckus; bring in existence tax provisions for #Demonetization. @NewI,
"Pretty much the best summation, delivered calmly and rationally. #demonetizationhttps://t.co/WhYeXwEZ0u via @India Legal","Imperfection is beauty, madness is genius, and it's better to be absolutely ridiculous than to be absolutely boring....:)"
"RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill is Money Bill, not requiring Rajya Sabha nod. #Demonetization. @NewIndianXp",
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",Sr. Software Engineer
How Much of Indias Black Money Will Surface by December?Know more: https://t.co/B6gJ3u6Fu9#currency https://t.co/LnqNMO284A,"Aranca is a global provider of customized #investment research, #business research, #valuation services and intellectual property (#patent) research services."
Purchase #LG OLED TV with LG Cashless Bonanza and explore our special deals. #NoCashNoWorries #Demonetization https://t.co/MN4OTZzhAT,LG Electronics India s Official Page on Twitter. We are here to engage and inform .
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,Love my country but not a Pseudo-nationalist. Strongly support anyone who is against BJP and RSS. A die-hard SRK fan.
RT @NimmaYash: Yash speaks his mind out on the issue of #demonetization during a discussion in @Pradesh18Kan - Team https://t.co/8YWRpJDQwj,Support Sandalwood and Sandalwood and only Sandalwood
"RT @JanatadalU: Clear evidence of black money used to buy land for @BJP4India before #demonetization, sharing records after #demonetization",Vice President - Fraud & Risk Intelligence
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","India First,  Proud Supporter Of Great and Developed India. My Tweets are personal and based on our country current affairs"
RT @SirJadeja: PM Narendra Modi Trolls WB CM Mamata Banerjee With Politeness.RT &amp; Spread If U Like It#BlackMoney #Demonetizationhttps:/,"INDIAN, Patriot,Thinker, Traveller, Photographer, Researcher, Rider, Curious, Occultist, Music, Sports & Movie lover, Towards Perfection & Run Out Of 140 Words"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !",A Hindu and I acknowledge that India is land of Indigenous Religion's people and not of INVADERS(??)
There goes another major excuse for #Demonetization https://t.co/5EpzXf66gx,Vi Veri Veniversum Vivus Vici.
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"RT @SharmiliChudail: Every good development meets  resistance, hurdles and criticism. The same is happening with #demonetization but the an","Enigmatic Athiest ! Humanity & Rationality First. Poke me & get a taste of your own medicine.
Also tweets/RTs = endorsements. I know I am qute, ?? ???? ??? ??"
"@hvengg he has not got any time to do jugad thats why so much frustration,which he able to control before #Demonetization @sardesairajdeep",
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (3/n) https://t.co/Y2VW5jLXdd,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (4/n) https://t.co/QNDDxaJ0uL,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (5/n) https://t.co/KSQtkRFAvZ,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @Susri1210: Tears in my eyes...a tea-stall owner understands the enormity of Modi's #Demonetization while the chor Opposition pretends t,"THINKER - I think mutinous, insolent, subversive, contrary, resistive, revolutionary, rebellious, turbulent thoughts. I am dangerously defiant - I THINK"
RT @Tavaga_Invest: Tavaga's @niharikar writes for @SHEROESIndia on how Women should react to #demonetization - https://t.co/ApZ3KlSTAd. #gi,The name's Bong. Lazy Bong. Co-Founder@Tavaga_Invest
#CREDAI denies adverse impact on the primary #Real #Estate market arising out of #demonetization Real estate contributes 7% of Indias GDP,"? Journalist_Sakal | Covers Startups, Traffic, Crime & Health stories | Previously with MiD-DAY & Loksatta | Views PERSONAL"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,"Kuch to baat hai k mit-ti nahi hasti hamari  
Sadiyo se dushman Raha hai daur e jaha hamara##

 AIMIM jamkhandi tq member aao majlis Ko kamiyab kare..?"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,
"because right now the country is making a LOT of noise, rightfully, about #demonetization and not hiding their head https://t.co/NCNoUT7TPE","chronic foodie, self-declared dilliwala, drift-with-lifer, personally political. mostly gormless.
godavar is my pen-name (just putting that out there)"
RT @AnandM25: Lok Sabha passed Taxation (Second Amendment) Bill amidst ruckus; bring in existence tax provisions for #Demonetization. @NewI,
WatchDelhi CM .@ArvindKejriwal on how #Demonetization is a complete... https://t.co/f2DCVKccJN by #AamAadmiParty via @c0nvey,
#DEMONetization #Exorcism of Ind Economy not thought through #BJP #Modi,????-???? ???? trying to get a grip on Life
RT @Susri1210: Tears in my eyes...a tea-stall owner understands the enormity of Modi's #Demonetization while the chor Opposition pretends t,Human /Intolerant Hindu / TAMIL/Nature Lover/Enterpruner
"#demonetization Add a ""conspiracy to murder"" charge against the government. https://t.co/3UyfCMMA8g","chronic foodie, self-declared dilliwala, drift-with-lifer, personally political. mostly gormless.
godavar is my pen-name (just putting that out there)"
RT @namishtaneja: Thank you #navbharattimes ??#NamishTaneja #demonetization #2000rs?? https://t.co/33fuvMzCfB,"?Tere sang yaara from Laksh to Ragini?? loved it!
He secretly watched her n cried! cursed himself and said""Meri Ragini theek hai ya nahi""??? #TeMish"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (1/n) https://t.co/Me9ogl2F66,
Tears in my eyes...a tea-stall owner understands the enormity of Modi's #Demonetization while the chor Opposition p https://t.co/n1Ag8QRZxe,"A human being, concerned about nature, my country, its people, its history, its wonderful rishis, alarmed about its corruption -wanting to help make it better."
RT @DDNewsLive: #Demonetization: Prime Minister @narendramodi urges people to switch to mobiles as banks. Here's how you can do it -#Cash,"???? ???, ??????? ????? ??????"
RT @nichedelhi: #ContestAvail a discount of 20% with just a selfie.#Discount #Niche #Cafe #Bar #cp t&amp;c apply #Demonetization https://t.co,a butterfly fluttering through life..hard to pin down~ find me on Instagram- the_wanderlust17
RT @LillyMaryPinto: Telangana Chief Minister K. Chandrashekar Rao extends his full support to PM Modi's #Demonetization  move Jai Ho?? http,"?????? ?? ??? ????? ?? ????? ??????
follow ???? ?? ?????? ?? ????????"
#Demonetization Accompanied by Deregulation Will Produce Great Results for #realestate .,
#ContestAvail a discount of 20% with just a selfie.#Discount #Niche #Cafe #Bar #cp t&amp;c apply #Demonetization https://t.co/Rs0UkmGqx0,"{niche} is a one of a kind Cafe & Bar in Connaught Place, which serves signature cocktails specially curated for the discerning pallet."
"#Demonetization Fallout. Demonetization supporters, however, say the fall in GDP rate will be only for this quarter. https://t.co/truwUVuriv",Correspondent @RepublicaNepal & @nagarik_news  Chasing illicit money.  Financial news junkie. Email: sagar.use@gmail.com
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http","I am a MEGA fan 
CHIRU tharuvathey evaraina"
"according to #NandanNilekani , India already has  world class financial technologies in  place to go for digital economy.  #demonetization","Scientist (#Climate #Environment) #Hindu #Nonviolence #Philosophy #Spirituality
#Animalrights #Humanity
??????? ???? (Truth Alone Triumphs)  
?????? ???????????"
RT @ShashiTharoor: More disquieting news for those who naively hoped that @PMOIndia had done its homework&amp;planning b4 #demonetization:http,"Physics by PhD | Economics by #ManMohanSingh | Support Right to #Food, #Employement  & #Education | Follow @ Your own Risk."
"RT @BSLMF: Catch @MFBALA, CEO Birla Sun Life Mutual Fund, live on Periscope, as he helps you learn about #demonetization and how to use idl","MyUniverse is India's #1 Personal Money Management platform. Track multiple accounts, set budgets, monitor investments, get advice & do lot more!"
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","Executive Coach & Leadership Trainer. Author, created #PowerPacked Personality program. RTs not endorsements MD, S.K.MEC(P)ltd."
"RT @vidyarthee: ""10 Reasons Why BJP's #Demonetization Move Is An Unmitigated  And Politically Motivated  Disaster"" https://t.co/0wpqrddmp","congress supporter. patriot. think-out-louder. proud Indian. I LOVE MY COUNTRY. Indian first.then Hindu, Muslim, Sikh, Christian"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,"complicated,confused soul"
"RT @jairajp: The Egg has been broken to make Omelet Ingredients are ready, pan is on the Stove. But there is no fuel?? #DeMonetization htt",Don't make a permanent decision for a temporary emotion. - Anonymous
"RT @vidyarthee: ""10 Reasons Why BJP's #Demonetization Move Is An Unmitigated  And Politically Motivated  Disaster"" https://t.co/0wpqrddmp","Official Twitter Handle of 
 'National Student's Union of India ,Uttar Pradesh ( Central)"
RT @indrastra: @APPSPolicyForum ~ a market to convert #blackmoney into white was existing before #demonetization &amp; will exists even after i,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,love what you do
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
"RT @Devinder_Sharma: While the nation suffers the trauma of #demonetization, Govt allows tax evaders to keep 50% of their black money. http",
"(3/4) ""Since #Demonetization, the maximum a customer has spent on buying my vegetables is 200.""#HumansOfDemonetization",#IndiaFellow Social #Leadership Program
